K15a29418,"[1, 1, 6, 4, 16, 6]",['K15a29418']
K15n13968,"[1, 1, 1, 1, 3, 8]",['K15n13968']
K15n14064,"[1, 1, 1, 1, 3, 9]",['K15n14064']
K15n19626,"[1, 1, 1, 1, 3, 12]",['K15n19626']
K15n19653,"[1, 1, 1, 1, 3, 11]",['K15n19653']
K15n31231,"[1, 1, 1, 3, 3, 10]",['K15n31231']
K15n32571,"[1, 1, 1, 3, 3, 9]",['K15n32571']
K15n41548,"[1, 2, 4, 3, 11, 2]",['K15n41548']
K15n46167,"[1, 2, 4, 3, 11, 3]",['K15n46167']
K15n5530,"[1, 2, 5, 3, 23, 15]",['K15n5530']
K15n5996,"[1, 2, 5, 3, 23, 19]",['K15n5996']
K15n120993,"[1, 1, 1, 2, 8, 2]",['K15n120993']
K15n121037,"[1, 1, 1, 2, 8, 5]",['K15n121037']
K15a16194,"[1, 2, 5, 3, 14, 3]","['K15a16194', 'K15a19447']"
K15a57699,"[1, 1, 1, 4, 4, 5]","['K15a57699', 'K15a58977']"
K15a59021,"[1, 1, 1, 4, 4, 4]",['K15a59021']
K15n44909,"[1, 1, 1, 4, 4, 9]",['K15n44909']
K15n48939,"[1, 1, 1, 4, 4, 10]",['K15n48939']
K15a4554,"[1, 1, 1, 2, 6, 7]",['K15a4554']
K15a4929,"[1, 1, 1, 2, 6, 2]",['K15a4929']
K15n115424,"[1, 1, 1, 4, 17, 48]",['K15n115424']
K15n32323,"[1, 1, 1, 4, 17, 47]",['K15n32323']
K15n22117,"[1, 1, 1, 4, 8, 8]",['K15n22117']
K15n23243,"[1, 1, 1, 4, 8, 6]",['K15n23243']
K15a6176,"[1, 1, 2, 4, 4, 9]",['K15a6176']
K15a6313,"[1, 1, 2, 4, 4, 8]",['K15a6313']
K15n10828,"[1, 1, 1, 4, 4, 6]","['K15n10828', 'K15n8910']"
K15a11836,"[1, 2, 4, 2, 10, 3]",['K15a11836']
K15a11860,"[1, 2, 4, 2, 10, 1]",['K15a11860']
K14n690,"[1, 1, 2, 2, 8, 12]",['K14n690']
K14n862,"[1, 1, 2, 2, 8, 11]",['K14n862']
K15n10204,"[1, 2, 5, 2, 14, 3]",['K15n10204']
K15n10293,"[1, 2, 5, 2, 14, 5]",['K15n10293']
K15n74700,"[1, 1, 6, 2, 14, 14]",['K15n74700']
K15n96586,"[1, 1, 6, 2, 14, 23]",['K15n96586']
K15n25993,"[1, 1, 2, 3, 12, 7]",['K15n25993']
K15n26923,"[1, 1, 2, 3, 12, 4]",['K15n26923']
K15n12553,"[1, 1, 1, 3, 3, 5]",['K15n12553']
K15n12678,"[1, 1, 1, 3, 3, 6]",['K15n12678']
K15n17326,"[1, 1, 1, 5, 7, 6]",['K15n17326']
K15n18909,"[1, 1, 1, 5, 7, 7]",['K15n18909']
K15n21945,"[1, 1, 2, 1, 5, 10]",['K15n21945']
K15n29561,"[1, 1, 2, 1, 5, 9]",['K15n29561']
K15n29564,"[1, 1, 2, 1, 5, 13]",['K15n29564']
K15n121832,"[1, 1, 1, 1, 3, 22]","['K15n121832', 'K15n121921']"
K15n34907,"[1, 1, 2, 3, 7, 4]",['K15n34907']
K15n35034,"[1, 1, 2, 3, 7, 5]",['K15n35034']
K15n29644,"[1, 1, 1, 1, 3, 9]",['K15n29644']
K15n8898,"[1, 1, 1, 1, 3, 5]",['K15n8898']
K15n102301,"[1, 2, 4, 1, 9, 6]",['K15n102301']
K15n110385,"[1, 2, 4, 1, 9, 7]",['K15n110385']
K15a5822,"[1, 1, 1, 3, 1, 6]",['K15a5822']
K15a6134,"[1, 1, 1, 3, 1, 5]",['K15a6134']
K14a1861,"[1, 1, 1, 1, 3, 6]",['K14a1861']
K14a1956,"[1, 1, 1, 1, 3, 4]",['K14a1956']
K15a57564,"[1, 1, 2, 4, 13, 7]",['K15a57564']
K15a59304,"[1, 1, 2, 4, 13, 6]",['K15a59304']
K15a11098,"[1, 5, 14, 3, 50, 30]",['K15a11098']
K15a48244,"[1, 5, 14, 3, 50, 36]",['K15a48244']
K15n14354,"[1, 1, 2, 2, 4, 9]",['K15n14354']
K15n15974,"[1, 1, 2, 2, 4, 12]",['K15n15974']
K15n1050,"[1, 2, 4, 3, 13, 2]","['K15n1050', 'K15n958']"
K14n1117,"[1, 2, 1, 2, 8, 4]","['K14n1117', 'K14n1189']"
K15n11683,"[1, 2, 5, 6, 21, 7]",['K15n11683']
K15n12110,"[1, 2, 5, 6, 21, 12]",['K15n12110']
K14n3352,"[1, 1, 2, 1, 5, 10]","['K14n3352', 'K14n4194']"
K15n29274,"[1, 2, 2, 5, 13, 7]",['K15n29274']
K15n29339,"[1, 2, 2, 5, 13, 16]",['K15n29339']
K15n12969,"[1, 1, 1, 1, 1, 1]",['K15n12969']
K15n13079,"[1, 1, 1, 1, 1, 7]",['K15n13079']
K15n14995,"[1, 2, 5, 4, 21, 9]",['K15n14995']
K15n19251,"[1, 2, 5, 4, 21, 8]",['K15n19251']
K15n23711,"[1, 2, 5, 3, 24, 14]",['K15n23711']
K15n26179,"[1, 2, 5, 3, 24, 10]",['K15n26179']
K15n37228,"[1, 1, 1, 2, 2, 10]",['K15n37228']
K15n37245,"[1, 1, 1, 2, 2, 9]",['K15n37245']
K15a3241,"[1, 2, 5, 3, 17, 20]",['K15a3241']
K15a6315,"[1, 2, 5, 3, 17, 13]",['K15a6315']
K15n25784,"[1, 2, 5, 1, 11, 18]",['K15n25784']
K15n28321,"[1, 2, 5, 1, 11, 22]",['K15n28321']
K15n123473,"[1, 1, 1, 7, 9, 10]",['K15n123473']
K15n123484,"[1, 1, 1, 7, 9, 8]",['K15n123484']
K15a55797,"[1, 2, 5, 2, 16, 9]","['K15a55797', 'K15a56269']"
K15a55803,"[1, 2, 5, 2, 16, 8]",['K15a55803']
K15a56265,"[1, 2, 5, 2, 16, 12]",['K15a56265']
K15n31102,"[1, 2, 2, 2, 6, 7]",['K15n31102']
K15n31390,"[1, 2, 2, 2, 6, 6]",['K15n31390']
K15n92192,"[1, 2, 2, 4, 14, 16]",['K15n92192']
K15n97473,"[1, 2, 2, 4, 14, 13]",['K15n97473']
K14n3616,"[1, 1, 1, 6, 5, 15]",['K14n3616']
K14n4485,"[1, 1, 1, 6, 5, 12]",['K14n4485']
K15n28087,"[1, 1, 2, 2, 4, 17]","['K15n28087', 'K15n4279']"
K15n34918,"[1, 1, 1, 1, 5, 8]","['K15n34918', 'K15n35040']"
K15n35051,"[1, 1, 1, 1, 5, 10]",['K15n35051']
K15a8671,"[1, 1, 1, 3, 3, 3]","['K15a8671', 'K15a9096']"
K15n116365,"[1, 1, 1, 6, 16, 39]",['K15n116365']
K15n53803,"[1, 1, 1, 6, 16, 34]",['K15n53803']
K15n30457,"[1, 1, 1, 3, 3, 15]",['K15n30457']
K15n30575,"[1, 1, 1, 3, 3, 8]",['K15n30575']
K12a122,"[1, 2, 9, 5, 31, 41]",['K12a122']
K12a182,"[1, 2, 9, 5, 31, 42]",['K12a182']
K14a15192,"[1, 1, 2, 5, 5, 18]",['K14a15192']
K14a15198,"[1, 1, 2, 5, 5, 17]",['K14a15198']
K15n11000,"[1, 1, 1, 2, 4, 9]",['K15n11000']
K15n11047,"[1, 1, 1, 2, 4, 11]","['K15n11047', 'K15n6856']"
K14n1600,"[1, 1, 2, 2, 3, 2]",['K14n1600']
K14n2350,"[1, 1, 2, 2, 3, 3]",['K14n2350']
K15n29672,"[1, 2, 5, 1, 13, 6]",['K15n29672']
K15n31453,"[1, 2, 5, 1, 13, 7]",['K15n31453']
K15n28111,"[1, 1, 2, 3, 7, 8]",['K15n28111']
K15n4568,"[1, 1, 2, 3, 7, 5]",['K15n4568']
K15n23734,"[1, 1, 1, 4, 2, 8]",['K15n23734']
K15n26210,"[1, 1, 1, 4, 2, 6]",['K15n26210']
K15a3753,"[1, 2, 2, 4, 12, 11]",['K15a3753']
K15a3782,"[1, 2, 2, 4, 12, 8]",['K15a3782']
K15a18736,"[1, 2, 2, 1, 9, 6]",['K15a18736']
K15a18739,"[1, 2, 2, 1, 9, 7]",['K15a18739']
K15a10554,"[1, 2, 2, 3, 9, 7]",['K15a10554']
